id	affiliation_string	ror
275	Department of Environment Sciences, International Islamic University, Islamabad, Pakistan	https://ror.org/047w75g40
276	Botany department, Government Post graduate college, Mansehra, Pakistan	
277	Directorate of Higher education KPK, Pakistan	https://ror.org/04zyfmb02
278	Department of Chemistry, Government Post graduate college, Mansehra, Pakistan	
279	Lobachevsky State University of Nizhny Novgorod, Nizhny Novgorod, Russia,	https://ror.org/01bb1zm18
280	Submicron Heterostructures for Microelectronics Research & Engineering Center, Russian Academy of Sciences, St. Petersburg, Russia	https://ror.org/045dz4566
281	Submicron Heterostructures for Microelectronics Research & Engineering Center, Russian Academy of Sciences, St. Petersburg, Russia	https://ror.org/05qrfxd25
282	Institute for Physics of Microstructures, Russian Academy of Sciences, Nizhny Novgorod, Russia; Lobachevsky State University of Nizhny Novgorod, Nizhny Novgorod, Russia	https://ror.org/01bb1zm18
283	Institute for Physics of Microstructures, Russian Academy of Sciences, Nizhny Novgorod, Russia; Lobachevsky State University of Nizhny Novgorod, Nizhny Novgorod, Russia	https://ror.org/05qrfxd25
284	Ophthalmology, Novartis Institutes for Biomedical Research, Cambridge, MA, United States of America	https://ror.org/053gv2m95
285	Consiglio per la ricerca in agricoltura e l’analisi dell’economia agraria - Research Centre for Plant Protection andCertification (CREA-DC), via Lanciola 12/A, 50125, Firenze, Italy	https://ror.org/0327f2m07
286	University of Naples Federico II Department of Agricultural Sciences  Via Università 100 80055 Portici Naples Italy	https://ror.org/05290cv24
287	Department of Mechanics and Mathematics Lviv National University, Lviv, Ukraine	https://ror.org/01s7y5e82
288	Ternopil’ National Economic University, Ternopil’, Ukraine	https://ror.org/047988g19
289	Boston University, United States	https://ror.org/05qwgg493
290	School of Pharmacy, Shenyang Pharmaceutical University, 103 Wenhua Road Shenhe District, 110016, Shenyang, Liaoning Province, PR China.	https://ror.org/03dnytd23
291	Department of Psychology, University of Wisconsin-Madison, Madison, Wisconsin.	https://ror.org/01y2jtd41
292	Department of Psychiatry School of Medicine and Public Health University of Wisconsin‐Madison Madison Wisconsin	https://ror.org/01y2jtd41
293	The Transformation of Religion in Late Modernity: the Case of New Catholicism	
294	Institute of Bioorganic Chemistry, Belorussian Academy of Sciences, Minsk, Belarus	https://ror.org/02j8pe645
295	Institute of Bioorganic Chemistry, Belorussian Academy of Sciences, Minsk, Belarus	https://ror.org/03r493e52
296	Sociology (Twin Cities)	
297	Hangzhou Vocational & Technical College, Hangzhou, China	https://ror.org/03jjm4b17
298	[Zhejiang Sci-Tech University, Hangzhou, China]	https://ror.org/03893we55
299	Mission Support and Test Services, LLC (MSTS), Las Vegas, NV (United States)	https://ror.org/037k8mg80
300	Brimbank Libraries	
301	Fred Hutchinson Cancer Research Center and University of Washington School of Medicine, Seattle, Washington (G.B.M., B.M.S., M.M., M.S., S.A.P., G.C., S.H., M.B., M.D.F., S.J.L., F.R.A., R.S., P.J.M., H.J.D.)	https://ror.org/007ps6h72
302	Fred Hutchinson Cancer Research Center and University of Washington School of Medicine, Seattle, Washington (G.B.M., B.M.S., M.M., M.S., S.A.P., G.C., S.H., M.B., M.D.F., S.J.L., F.R.A., R.S., P.J.M., H.J.D.)	https://ror.org/03ymk3103
303	Fred Hutchinson Cancer Research Center, Seattle, Washington (G.S., T.A.G.)	https://ror.org/007ps6h72
304	Docente en la Universidad César Vallejo, filial Lima Norte	https://ror.org/0297axj39
305	Department of Infectious Diseases, Shunde Hospital, Southern Medical University, Shunde, China.	https://ror.org/00wwb2b69
306	Department of Infectious Diseases, Shunde Hospital, Southern Medical University, Shunde, China.	https://ror.org/01vjw4z39
307	Technical University of Darmstadt, Institute for Energy Systems and Technology, Otto-Berndt-Straße 2, 64287, Darmstadt, Germany	https://ror.org/05n911h24
308	Department of Chemical Engineering, Can Tho University, Campus II 3/2 Street, Can Tho City, Viet Nam; Technical University of Darmstadt, Institute for Energy Systems and Technology, Otto-Berndt-Straße 2, 64287, Darmstadt, Germany	https://ror.org/0071qz696
309	Department of Chemical Engineering, Can Tho University, Campus II 3/2 Street, Can Tho City, Viet Nam; Technical University of Darmstadt, Institute for Energy Systems and Technology, Otto-Berndt-Straße 2, 64287, Darmstadt, Germany	https://ror.org/05n911h24
310	050011,石家庄,河北医科大学第四医院手术室	https://ror.org/01mdjbm03
311	510260,广州医学院第二附属医院高级医疗服务部门诊	https://ror.org/04yrcjm56
312	Інститут психології імені Г. С. Костюка Національної академії педагогічних наук України	
313	Rockefeller Neuroscience Institute, West Virginia University School of Medicine, Morgantown, West Virginia.	https://ror.org/005535379
314	Rockefeller Neuroscience Institute, West Virginia University School of Medicine, Morgantown, West Virginia.	https://ror.org/011vxgd24
315	Case Western Reserve University, University Hospitals of Cleveland, Cleveland, Ohio;	https://ror.org/0130jk839
316	Case Western Reserve University, University Hospitals of Cleveland, Cleveland, Ohio;	https://ror.org/051fd9666
317	Basildon and Thurrock University Hospitals, Essex, UK	https://ror.org/01qbm4443
318	Department of Pharmacy Practice, MCPHS University, Boston, Massachusetts.	https://ror.org/02fvywg07
319	Department of Anesthesiology and Perioperative Medicine, University of Rochester, Rochester, New York	https://ror.org/022kthw22
320	Department of Anesthesiology & Pain Medicine University of Washington Seattle Washington	https://ror.org/00cvxb145
321	Department of Pharmacy Practice, Southern Illinois University Edwardsville, Edwardsville, Illinois	https://ror.org/04cqs5j56
322	.Johns Hopkins University,Baltimore,Maryland	https://ror.org/00za53h95
323	Tufts Medical Center, Boston, Massachusetts	https://ror.org/002hsbm82
324	Tufts University School of MedicineBoston, Massachusetts	https://ror.org/05wvpxv85
325	Translational Pain Research Program, Department of Neurosurgery, University of Rochester, New York.	https://ror.org/022kthw22
326	Tufts University School of Medicine, Boston, Massachusetts	https://ror.org/05wvpxv85
327	Durham University, Durham, UK; University of Exeter, Exeter, UK	https://ror.org/01v29qb04
328	Durham University, Durham, UK; University of Exeter, Exeter, UK	https://ror.org/03yghzc09
329	College of Medicine and Health, University of Exeter, Exeter, UK; Institute of Health and Well Being, University of Glasgow, Glasgow, UK.	https://ror.org/00vtgdb53
330	College of Medicine and Health, University of Exeter, Exeter, UK; Institute of Health and Well Being, University of Glasgow, Glasgow, UK.	https://ror.org/03yghzc09
331	Departments of Neurosurgery, Neurology, Psychiatry and Neuroscience, The Icahn School of Medicine at Mount Sinai, NY, New York	https://ror.org/04a9tmd77
332	1 Brock University Department of History Canada St Catharines, Ontario	https://ror.org/056am2717
333	National Institute of Radiological Sciences National Institutes for Quantum and Radiological Science and Technology Chiba 263-8555 Japan	https://ror.org/020rbyg91
334	Faculty of Pharmaceutical Sciences, Tohoku Medical and Pharmaceutical University, Sendai, Miyagi 981-8558, Japan.	https://ror.org/0264zxa45
335	Advance Glycoscience Research Cluster, National University of Ireland Galway, H91 W2TY Galway, Ireland.	https://ror.org/03bea9k73
336	مدرس بقسم الصحافة، کلية الاعلام، جامعة القاهرة	https://ror.org/03q21mh05
337	Yamagata Prefectual Forest Research and Instruction Center	https://ror.org/003rkqt50
338	School of life Science Jilin University Jilin Province China	https://ror.org/00js3aw79
339	Laboratory Teaching Center of Basic Medicine Norman Bethune Health Science Center of Jilin University Jilin Province China	https://ror.org/051c4bd82
340	Laboratory Teaching Center of Basic Medicine Norman Bethune Health Science Center of Jilin University Jilin Province China	https://ror.org/00js3aw79
341	Department of Histology and Embryology, College of Basic Medical Sciences, Norman Bethune College of Medicine Jilin University  Changchun Jilin China	https://ror.org/051c4bd82
342	UNIVERSITAS SERANG RAYA	https://ror.org/04zc7sw86
343	#N##TAB##TAB##TAB##TAB# California Institute of Technology#N##TAB##TAB##TAB#	https://ror.org/05dxps055
344	Department of Anesthesia, Kyoto University Hospital.	https://ror.org/04k6gr834
345	Institute of Chemical Engineering and Environmental Technology (6670)	
346	High Energy Accelerator Research Organization, Institute of Materials Structure Science, Tsukuba, Ibaraki (Japan)	https://ror.org/01g5y5k24
347	High Energy Accelerator Research Organization, Institute of Materials Structure Science, Tsukuba, Ibaraki (Japan)	https://ror.org/0327y7e25
348	Kyoto Univ. Research Reactor Inst., Kumatori, Osaka (Japan)	https://ror.org/05qs31q25
349	Japan Atomic Energy Research Inst., Tokai, Ibaraki (Japan). Tokai Research Establishment	https://ror.org/05nf86y53
350	Yamagata Univ., Faculty of Science, Yamagata (Japan)	https://ror.org/00xy44n04
351	CNB, CSIC;	https://ror.org/015w4v032
352	CNB, CSIC;	https://ror.org/02gfc7t72
353	CSIC	https://ror.org/02gfc7t72
354	Ub	
355	Universiti Kuala Lumpur, Malaysia	https://ror.org/026wwrx19
356	Universiti Putra Malaysia - Malaysia	https://ror.org/02e91jd64
357	[Oak Ridge National Laboratory, Oak Ridge, TN, United States]	https://ror.org/01qz5mb56
358	Sungkyunkwan University, Korea, Republic of;	https://ror.org/04q78tk20
359	Sekolah Tinggi Ilmu Ekonomi Dwimulya, Serang, Banten, Indonesia	https://ror.org/021a5w723
360	Graduate School, Istanbul Technical University, Istanbul 34467, Turkey	https://ror.org/059636586
361	Department of Management Engineering, Istanbul Technical University, Istanbul 34467, Turkey	https://ror.org/059636586
362	3, Place louis Pradel, 69001 Lyon, France	
363	Western Reserve University	https://ror.org/051fd9666
364	Peking University People's Hospital	https://ror.org/035adwg89
365	second affilated hospital of nanchang university	https://ror.org/01nxv5c88
366	second affiliated hospital of nanchang university	https://ror.org/01nxv5c88
367	Nanchang Number 9 Hospital	https://ror.org/03037e419
368	Aus d. I med. Klinik d. kaiserl. Univers. zu Kyoto	https://ror.org/02kpeqv85
369	Cadham Provincial Public Health Laboratory, Winnipeg, Manitoba, Canada	https://ror.org/0077pzv34
370	Saskatchewan Disease Control Laboratory, Regina, Saskatchewan, Canada	https://ror.org/04g5g7m78
